Gene_id	l_A7	r_A7	m_A7	s_A7	l_E5	r_E5	m_E5	s_E5	l_B11	r_B11	m_B11	s_B11	MaxLeft	MinLeft	MaxRight	MinRight	MaxMid	MinMid	MaxSides	MinSides	DifLeft	DifRight	DifMid	DifSides	Interval	MaxDif	areaFC	area_A7	area_E5	area_B11	MaxArea	MinArea
PF3D7_0620200	11.7479288115004	18.7603633453056	10.6340360837106	19.8742560730955	15.1794088513752	21.9439043336462	14.93161079686	22.1917023881614	20.9432608205193	25.7534516712653	24.1619400515915	22.5347724401932	20.9432608205193	11.7479288115004	25.7534516712653	18.7603633453056	24.1619400515915	10.6340360837106	22.5347724401932	19.8742560730955	9.1953320090189	6.9930883259597	13.527903967880901	2.660516367097703	Mid	13.527903967880901	0.9048765195906958	10.6340360837106	14.93161079686	24.1619400515915	24.1619400515915	10.6340360837106
PF3D7_0620300	20.8604933574993	33.5488074763002	21.2000226386688	33.2092781951307	18.0218311454791	32.6936001812095	20.4983819263779	30.2170494003107	23.0826463844574	35.0084766131358	23.9099921765602	34.181130821033	23.0826463844574	18.0218311454791	35.0084766131358	32.6936001812095	23.9099921765602	20.4983819263779	34.181130821033	30.2170494003107	5.0608152389783	2.314876431926301	3.4116102501822994	3.9640814207223016	Left	5.0608152389783	0.3385160694968763	20.8604933574993	18.0218311454791	23.0826463844574	23.0826463844574	18.0218311454791
PF3D7_0620400	10.8497993899785	34.270189067573	9.89532094742014	35.2246675101314	7.00578190453584	36.349590284367	8.32119700221686	35.034175186686	13.5631267122231	39.2367599643051	14.3496589325479	38.4502277439802	13.5631267122231	7.00578190453584	39.2367599643051	34.270189067573	14.3496589325479	8.32119700221686	38.4502277439802	35.034175186686	6.557344807687261	4.966570896732101	6.028461930331041	3.4160525572942007	Left	6.557344807687261	0.4386183817851011	10.8497993899785	7.00578190453584	13.5631267122231	13.5631267122231	7.00578190453584
PF3D7_0620500	8.75803872802534	1.84664717284718	5.23632267506917	5.36836322580336	9.68644758701208	3.23726293877781	6.62772665009338	6.29598387569651	6.94440707780408	3.43520493049513	6.08488306807037	4.29472894022884	9.68644758701208	6.94440707780408	3.43520493049513	1.84664717284718	6.62772665009338	5.23632267506917	6.29598387569651	4.29472894022884	2.7420405092079996	1.58855775764795	1.3914039750242102	2.00125493546767	Left	2.7420405092079996	0.18341408088347824	8.75803872802534	9.68644758701208	6.94440707780408	9.68644758701208	6.94440707780408
PF3D7_0620600	23.615839066297	4.79886401559675	11.6668508904256	16.7478521914682	22.476545169322	3.43963022195443	11.0695340093457	14.8466413819308	29.1275913562038	8.29711537907155	16.9841605743286	20.4405461609468	29.1275913562038	22.476545169322	8.29711537907155	3.43963022195443	16.9841605743286	11.0695340093457	20.4405461609468	14.8466413819308	6.6510461868818	4.857485157117121	5.9146265649829015	5.593904779015999	Left	6.6510461868818	0.4448860325673445	23.615839066297	22.476545169322	29.1275913562038	29.1275913562038	22.476545169322
PF3D7_0620700	11.2548978877204	51.574295532909	27.511080398763202	35.3181130218662	15.2856992302404	51.7874095232597	28.825004554832802	38.2481041986673	18.1652785071817	51.2093882081014	29.1368203601394	40.2378463551436	18.1652785071817	11.2548978877204	51.7874095232597	51.2093882081014	29.1368203601394	27.511080398763202	40.2378463551436	35.3181130218662	6.9103806194613	0.5780213151582956	1.6257399613761976	4.919733333277399	Left	6.9103806194613	0.46223281735527094	11.2548978877204	15.2856992302404	18.1652785071817	18.1652785071817	11.2548978877204
PF3D7_0620800	6.03796499606381	11.5609469772128	4.27040163980541	13.3285103334712	8.59524087900668	9.73928197080384	4.38810396784374	13.9464188819668	15.2518747665663	15.3362163940665	5.99440878785744	24.5936823727753	15.2518747665663	6.03796499606381	15.3362163940665	9.73928197080384	5.99440878785744	4.27040163980541	24.5936823727753	13.3285103334712	9.21390977050249	5.596934423262661	1.7240071480520296	11.265172039304101	Sides	11.265172039304101	0.7535232133313781	13.3285103334712	13.9464188819668	24.5936823727753	24.5936823727753	13.3285103334712
PF3D7_0620900	30.0379840385394	15.8646347355564	27.2452978605182	18.6573209135776	32.2611959538262	12.2578021369263	27.1769514231813	17.3420466675711	41.7178542685291	15.5095588271285	32.8335309430059	24.3938821526518	41.7178542685291	30.0379840385394	15.8646347355564	12.2578021369263	32.8335309430059	27.1769514231813	24.3938821526518	17.3420466675711	11.679870229989703	3.606832598630101	5.6565795198245965	7.051835485080698	Left	11.679870229989703	0.7812622227417861	30.0379840385394	32.2611959538262	41.7178542685291	41.7178542685291	30.0379840385394
PF3D7_0621000	28.0053094686685	17.5616736518135	29.6741076205999	15.8928754998821	27.5715980892301	18.1301447875094	29.6783948969976	16.0233479797418	26.8700936631617	17.6487381776512	28.189608899245	16.3292229415678	28.0053094686685	26.8700936631617	18.1301447875094	17.5616736518135	29.6783948969976	28.189608899245	16.3292229415678	15.8928754998821	1.1352158055067996	0.5684711356959014	1.4887859977526006	0.43634744168569917	Mid	1.4887859977526006	0.09958434767575924	29.6741076205999	29.6783948969976	28.189608899245	29.6783948969976	28.189608899245
PF3D7_0621100	7.21587853904306	54.3144155340945	22.4387408048378	39.0915532682997	7.44360070458114	55.7842228963418	23.5539175478952	39.6739060530278	17.8837275478964	56.7458569266543	28.506841203046	46.1227432715048	17.8837275478964	7.21587853904306	56.7458569266543	54.3144155340945	28.506841203046	22.4387408048378	46.1227432715048	39.0915532682997	10.667849008853338	2.4314413925597975	6.068100398208202	7.031190003205104	Left	10.667849008853338	0.7135684955754742	7.21587853904306	7.44360070458114	17.8837275478964	17.8837275478964	7.21587853904306
