"Gene ID","source_id","sense - T05 - unique only","sense - T10 - unique only","sense - T15 - unique only","sense - T20 - unique only","sense - T25 - unique only","sense - T30 - unique only","sense - T35 - unique only","sense - T40 - unique only","antisense - T05 - unique only","antisense - T10 - unique only","antisense - T15 - unique only","antisense - T20 - unique only","antisense - T25 - unique only","antisense - T30 - unique only","antisense - T35 - unique only","antisense - T40 - unique only","sense - T05","sense - T10","sense - T15","sense - T20","sense - T25","sense - T30","sense - T35","sense - T40","antisense - T05","antisense - T10","antisense - T15","antisense - T20","antisense - T25","antisense - T30","antisense - T35","antisense - T40"
"PF3D7_1324400","PF3D7_1324400.1","284.26","567.5","383.82","244.32","168.6","165.86","178.25","140.4","0.17","0","0.36","0","0.84","1.4","0.89","1.29","230.62","500.91","346.93","222.07","154.07","153.97","167.54","122.74","0.14","0","0.32","0","0.77","1.3","0.84","1.27"
"PF3D7_1325400","PF3D7_1325400.1","56.29","13.8","2.45","1.29","2.1","16.34","64.58","164.33","0.04","0.03","0.04","0.03","0.01","0.1","0.09","1.61","47.26","12.58","2.36","1.26","2.07","15.8","63.48","149.47","0.04","0.04","0.06","0.03","0.01","0.09","0.09","1.46"
"PF3D7_1325600","PF3D7_1325600.1","36.46","10.72","0.46","1.25","12.89","31.13","49.25","85.74","6.77","2.23","0.23","7.48","27.97","72.51","74.93","44.75","29.92","9.46","0.42","1.13","12.28","29.83","46.83","75.05","5.49","1.97","0.21","6.8","25.72","67.31","70.43","39.08"
"PF3D7_1325900","PF3D7_1325900.1","12.07","3.43","0.89","0.6","1.09","14.33","44.01","61.11","0.16","0.1","0.63","2.58","3.64","2.81","0.62","1.83","10.17","3.11","0.96","0.59","1.07","13.76","42.8","54.96","0.16","0.15","0.61","2.37","3.34","2.68","0.61","1.73"
"PF3D7_1326200","PF3D7_1326200.1","6.41","7.63","12.44","17.87","19.58","27.34","24.85","23.33","4.08","1.55","2.71","5.33","4.07","7.61","4.12","6.59","5.29","6.94","11.35","16.23","17.89","25.58","23.35","20.47","3.31","1.37","2.45","4.94","3.81","7.07","3.88","5.75"
"PF3D7_1326400","PF3D7_1326400.1","14.06","59.07","101.01","114.83","111.36","114.75","92.45","47.74","0.46","0.33","0.97","1.56","1.14","1.02","0.46","2","11.4","52.26","91.39","104.36","101.86","106.58","87","41.85","0.37","0.3","0.87","1.41","1.09","0.95","0.44","1.75"
"PF3D7_1326700","PF3D7_1326700.1","21.75","17.93","13.4","27.34","39.13","36.72","25","21.27","0.34","0.99","0.84","0.82","0.81","1.1","1.16","2.19","17.64","15.98","12.11","24.84","35.8","34.08","23.59","18.58","0.32","1.08","0.82","1.04","0.74","1.02","1.14","2.01"
"PF3D7_1327600","PF3D7_1327600.1","64.58","28.46","12.47","15.69","24.65","25.6","12.57","10.28","4.23","36.81","40.6","25.63","19.12","35.76","34.92","14.48","52.36","25.12","11.27","14.26","22.53","23.76","11.82","8.98","3.43","32.49","36.69","23.28","17.47","33.19","32.82","12.65"
"PF3D7_1329000","PF3D7_1329000.1","16.52","48.26","64.57","60.46","49.84","51.61","33.21","12.36","0.09","0.07","0.04","0.04","0.08","0.13","0.08","1.18","13.68","42.92","58.66","55.29","45.77","48.29","31.42","10.88","0.07","0.07","0.04","0.05","0.08","0.12","0.09","1.05"
"PF3D7_1329600","PF3D7_1329600.1","237.46","305.23","268.25","240.15","180.25","178.31","152.28","67.75","0.72","2.1","1.84","1.08","0.34","0.19","1.09","2.26","228.58","323.17","296.57","265.36","193.59","191.73","172.91","72.12","0.58","1.85","1.76","1.42","0.55","0.44","1.11","2.66"
"PF3D7_1329800","PF3D7_1329800.1","5.13","1.91","0.19","0.59","5.74","10.73","5.9","3.61","0.13","0.26","0.3","0.61","0.38","0.52","0.84","1.65","4.18","1.69","0.17","0.6","5.28","10.1","5.54","3.26","0.15","0.25","0.32","0.58","0.37","0.48","0.83","1.44"
"PF3D7_1330000","PF3D7_1330000.1","9.14","13.48","27.55","46.49","46.59","51.81","55.51","35","0.6","0.46","0.16","0.43","0.12","1.24","1.06","2.87","7.41","11.9","24.89","42.48","42.58","48.35","52.3","30.81","0.61","0.41","0.14","0.39","0.23","1.28","1","2.51"
"PF3D7_1330000","PF3D7_1330000.2","9.14","13.48","27.55","46.49","46.59","51.81","55.51","35","0.6","0.46","0.16","0.43","0.12","1.24","1.06","2.87","7.41","11.9","24.89","42.48","42.58","48.35","52.3","30.81","0.61","0.41","0.14","0.39","0.23","1.28","1","2.51"
"PF3D7_1330600","PF3D7_1330600.1","8.09","4.01","1.49","1.75","35.11","81.73","103.95","57.39","0.37","0.19","0.19","0.53","0.31","0.34","1.46","3.11","6.61","3.54","1.35","1.59","32.09","75.92","97.75","50.17","0.6","0.17","0.18","0.53","0.28","0.31","1.38","3.02"
"PF3D7_1330700","PF3D7_1330700.1","9.42","2.64","0.91","1.25","15.84","50.8","92.08","70.21","0.3","0.78","0.7","1.3","1.22","2.19","0.63","2.09","7.64","2.38","0.82","1.18","14.52","47.2","86.55","61.31","0.25","0.73","0.63","1.23","1.12","2.03","0.63","1.86"
"PF3D7_1330800","PF3D7_1330800.1","550.18","995.53","1008.89","1179.46","1854.57","1075.17","653.07","203.28","1.3","0.32","0.33","0.25","0.35","0.76","0.09","1.89","446.56","879.47","912.35","1073.22","1696.96","999.45","614.24","177.64","1.09","0.28","0.3","0.31","0.36","0.71","0.17","1.69"
"PF3D7_1331300","PF3D7_1331300.1","27.32","9.08","1.77","0.48","16.87","49.8","120.96","161.31","7.21","1.2","0","0.16","0.28","0","0.15","2.57","22.15","8.02","1.6","0.43","15.41","46.23","113.69","140.86","5.84","1.21","0","0.14","0.25","0","0.14","2.24"
